Date,Open,High,Low,Close,Adj Close,Volume,CPI,Core CPI,gdp,Unemployment_rate,m1,DFF,M2
2014-10-01,28.721645,28.970463,25.335442,27.877462,27.877462,1043268450,2.0060187,239.191,17743.227,5.7,2845.7250000000000000,0.08903225806451610000,11542.7750000000000000
2014-11-01,27.698954,27.818624,26.431433,27.017324,27.017324,570413781,2.0043657,239.458,17743.227,5.8,2858.8500000000000000,0.09200000000000000000,11595.6500000000000000
2014-12-01,26.871225,26.996382,24.383057,26.247936,26.247936,917297545,1.9711259,239.584,17852.54,5.6,2980.5000000000000000,0.12258064516129000000,11739.0600000000000000
2015-01-01,26.378078,27.034277,24.311253,26.652824,26.652824,1004562476,1.985653,239.811,17852.54,5.7,2929.7750000000000000,0.11483870967741900000,11761.9500000000000000
2015-02-01,26.513706,28.158192,25.856510,27.843555,27.843555,651908915,1.9819969,240.172,17852.54,5.5,2981.0750000000000000,0.11071428571428600000,11821.4250000000000000
2015-03-01,27.949764,28.816385,27.136497,27.324980,27.324980,772972385,1.9991371,240.755,17991.348,5.4,3030.0600000000000000,0.11290322580645200000,11945.7200000000000000
2015-04-01,27.354897,28.478811,25.979174,26.867001,26.867001,847552576,2.0631236,241.346,17991.348,5.4,3025.7000000000000000,0.12466666666666700000,12022.9500000000000000
2015-05-01,26.921499,27.209499,26.054251,26.605499,26.605499,637318000,2.0668869,241.688,17991.348,5.6,2969.4250000000000000,0.12322580645161300000,11898.8750000000000000
2015-06-01,26.839500,27.187000,26.025000,26.025499,26.025499,686410000,2.1147326,242.064,18193.707,5.3,3029.3600000000000000,0.12900000000000000000,11953.0800000000000000
2015-07-01,26.236500,33.931999,25.759001,31.280500,31.280500,1266380000,2.1414477,242.565,18193.707,5.2,3019.4000000000000000,0.13032258064516100000,12016.0000000000000000
2015-08-01,31.267000,33.744999,28.252501,30.912500,30.912500,1074348000,2.1802398,242.817,18193.707,5.1,3045.3200000000000000,0.13806451612903200000,12062.560000000000
2015-09-01,30.118000,32.544998,29.469000,30.421000,30.421000,959100000,2.279431,243.316,18306.96,5.0,3002.0500000000000000,0.13600000000000000000,12139.0250000000000000
2015-10-01,30.418501,36.500000,29.992500,35.540501,35.540501,988772000,2.3462109,243.768,18306.96,5.0,2989.1250000000000000,0.12354838709677400000,12158.0000000000000000
2015-11-01,35.553001,38.135399,35.292500,37.130001,37.130001,678696000,2.4052606,244.241,18306.96,5.1,3079.7600000000000000,0.11766666666666700000,12288.040000000000
